UID,Name,DOB,Sex,SSN,Address,Country
98616,Mohammed Ali Barakat,1953,M,9876543245,"225 Syracuse Place ardson, TX 75081",Iraq
55601,Abdul Rahman Aziz,"10/12/1953, 1964 ",F,9876545711,"500 AL-MUZANNAR ST AL-NASIR AREA Gaza City, Gaza Palestinian",Palestine
39495,Saleem Ali Wahabi,10/25/1978,M,9876543245,"Calle Mina No. 15 Saucillo, Chihuahua MX",Mexico
16312,Saleem Ali Ibrahim,05-06-1981,M,9876545788,"Blvd. Cuauhtemoc 1711, Oficina 305, Colonia Zona Rio Tijuana, Baja California Mexico",Mexico
1757,Saleem Ali Ibrahim,,M,9876545788,50 Panteli Katelari Street Athens Greece,Greece
15394,Anita Diaz-Torres,12/15/1984,M,9876545788,"Citi Bank Building New York, NY",USA
99480,Carlos A. Santos,03-05-1961,M,9876545788,"226 Syracuse Place ardson, TX 75081",America
27844,Mohammed Awaiyedh Sharif,01-21-1999,M,9876545788,"501 AL-MUZANNAR ST AL-NASIR AREA Gaza City, Gaza Palestinian",Palestine
18054,CHARLES TAYLOR GUITARS INC. USA ,1953,M,9876545788,"Calle Mina No. 15 Saucillo, Chihuahua MX",Mexico
30783,WAHHABI STUDY CENTER,"10/12/1953, 1964 ",M,9876545788,"Blvd. Cuauhtemoc 1711, Oficina 305, Colonia Zona Rio Tijuana, Baja California Mexico",Mexico
30960,"Villareal, Cuba",10/25/1978,M,9876545788,51 Panteli Katelari Street Athens Greece,Greece
81216,CHARLES TAYLOR GUITARS INC. USA ,05-06-1981,M,9876545788,"Citi Bank Building New York, NY",USA
74355,WAHHABI STUDY CENTER,,M,9876545788,"227 Syracuse Place ardson, TX 75081",America
10124,"Villareal, Cuba",12/15/1984,M,9876545788,"502 AL-MUZANNAR ST AL-NASIR AREA Gaza City, Gaza",Palestine
48992,Mohammed Awaiyedh Sharif,03-05-1961,M,9876545788,"Calle Mina No. 15 Saucillo, Chihuahua MX",Mexico
71367,WAHHABI STUDY CENTER,01-21-1999,M,9876543243,"Blvd. Cuauhtemoc 1711, Oficina 305, Colonia Zona Rio Tijuana, Baja California Mexico",Mexico
